route_id,service_id,trip_id,trip_headsign,block_id,shape_id,wheelchair_accessible,vehicle_journey_code,agency_id,route_short_name,route_long_name,route_type,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code,id,route_id_live,start_time,start_date_live,latitude,longitude,current_stop,current_status,timestamp,vehicle,arrival_time_fixed,departure_time_fixed,time_diff
12565,341,VJ55cfa6f90a3dbd473b5ad2e94d7d2359c4939644,White Rose Centre,4b31f355843e53e33cef86e587610e012dd29fdb,RPSP2c79bb0186bf69c51f61d4bb619434c8201effd5,0,"VJ1450,VJ1473",OP931,47,,3.0,1,1,1,1,1,0,0,2023-01-23,2023-10-20,14:45:02,14:45:02,450011459,54,,0,0,18.6337,0,45011459,White Bear,53.731861,-1.579711,0,,,,8203083432543165244,12565,13:56:00,20230203,53.731407165527344,-1.5739259719848633,54,2,2023-02-03 15:04:16+00:00,FLDS-35545,2023-02-03 14:45:02+00:00,2023-02-03 14:45:02+00:00,19.233333333333334
30526,559,VJa12cdc181e4e5996e9b4f886383ad68330c4cd5f,White Rose Centre,9bf29b84f2da0d2513f52c940a0e43e7f317559e,RPSP5429056a0418c9be565f12ede15590865104c2ee,0,"VJ4597,VJ4723",OP931,12,,3.0,1,1,1,1,1,0,0,2023-01-30,2023-10-20,14:51:23,14:51:23,450011875,31,,0,0,10.4532,0,45011875,Windmill Road,53.762711,-1.527116,0,,,,3410310943568733218,30526,14:08:00,20230203,53.765342712402344,-1.5285799503326416,31,2,2023-02-03 15:03:44+00:00,FLDS-35524,2023-02-03 14:51:23+00:00,2023-02-03 14:51:23+00:00,12.35
30526,559,VJ1a9b47d4d12442e4483f0ca395e6bee4e07e9036,White Rose Centre,f13b6c7eec52613e840930a532ef35c7f32a6fed,RPSP5429056a0418c9be565f12ede15590865104c2ee,0,"VJ4599,VJ4725",OP931,12,,3.0,1,1,1,1,1,0,0,2023-01-30,2023-10-20,14:33:00,14:33:00,450010315,7,,0,0,3.0370100000000004,0,45010315,Lascelles Terrace,53.814648,-1.519302,0,,,,12161674776516763411,30526,14:23:00,20230203,53.817020416259766,-1.5167609453201294,7,2,2023-02-03 15:03:50+00:00,FLDS-35556,2023-02-03 14:33:00+00:00,2023-02-03 14:33:00+00:00,30.833333333333332
30526,559,VJ8536fbed266e3901f556d8436bc413a3e690c421,Roundhay,a2ac65e1af45166b3c1983d8de0f426f0e81843e,RPSPd4e9c63402ff480c037e596e6aec640d23c0ed35,0,"VJ4594,VJ4720",OP931,12,,3.0,1,1,1,1,1,0,0,2023-01-30,2023-10-20,14:46:00,14:46:00,450013675,46,,0,0,15.8392,0,45013675,Princes Ave Soldiers Field,53.832455,-1.504513,0,,,,10851310047536485227,30526,13:47:00,20230203,53.830894470214844,-1.5045980215072632,46,2,2023-02-03 15:04:07+00:00,FLDS-35532,2023-02-03 14:46:00+00:00,2023-02-03 14:46:00+00:00,18.116666666666667
30526,559,VJc18deeb28596f7a330b7536da46f9773b6796ebe,Roundhay,b0403263848af7508981e53c69eeff1729081653,RPSPd4e9c63402ff480c037e596e6aec640d23c0ed35,0,"VJ4600,VJ4726",OP931,12,,3.0,1,1,1,1,1,0,0,2023-01-30,2023-10-20,14:46:55,14:46:55,450010034,12,,0,0,4.83423,0,45010034,Lanshaw View,53.752773,-1.530351,0,,,,15646227055825191577,30526,14:32:00,20230203,53.75239562988281,-1.5305559635162354,12,2,2023-02-03 15:04:06+00:00,FLDS-35305,2023-02-03 14:46:55+00:00,2023-02-03 14:46:55+00:00,17.183333333333334
30531,559,VJdf53c753d50e4aeb25d2d68b83734f7df3436439,Gledhow,30616f5dbc7397e8f1267eed1ffd006fa40537f9,RPSPc2f685aeb883b33d47f587779d3ef228678bf21c,0,"VJ5038,VJ5166",OP931,13,,3.0,1,1,1,1,1,0,0,2023-01-30,2023-10-20,14:51:00,14:51:00,450014848,39,,0,0,12.5488,0,45014848,Harehills Avenue,53.820374,-1.513313,0,,,,6624569577365421113,30531,14:01:00,20230203,53.818172454833984,-1.5156300067901611,39,2,2023-02-03 15:03:55+00:00,FLDS-35589,2023-02-03 14:51:00+00:00,2023-02-03 14:51:00+00:00,12.916666666666666
12550,341,VJab690fa9b60a69d368056953ef5dd8102e4d55f8,Pudsey,28a869ae41e7e6b4c8db23f83656a4b2b52dadac,RPSPa0c7834b89da8a8a367dd63a308f26cf459f125a,0,"VJ551,VJ591,VJ657,VJ712",OP931,16,,3.0,1,1,1,1,1,0,0,2023-01-23,2023-10-20,14:47:25,14:47:25,450023826,46,,0,0,,0,45023826,Armley Town Street,53.797016,-1.590219,0,,,,5696279936897353456,12550,13:43:00,20230203,53.7967643737793,-1.588575005531311,46,2,2023-02-03 15:03:49+00:00,FLDS-35623,2023-02-03 14:47:25+00:00,2023-02-03 14:47:25+00:00,16.4
30536,341,VJ9c6cc1495a3aeef52b568aae00b8fd7f40bf9fbf,Holt Park,9f922f54fd07e5a9248e2f452de805012f384c13,RPSPa390d1ea88d095828cde9d6bf32b1e275f3da37d,0,"VJ2331,VJ2452",OP931,6,,3.0,1,1,1,1,1,0,0,2023-01-23,2023-10-20,14:51:41,14:51:41,450011524,28,,0,0,9.47935,0,45011524,Woodnook Drive,53.849174,-1.620765,0,,,,478934789035100587,30536,14:10:00,20230203,53.85054016113281,-1.6186089515686035,28,2,2023-02-03 15:04:03+00:00,FLDS-35525,2023-02-03 14:51:41+00:00,2023-02-03 14:51:41+00:00,12.366666666666667
12589,341,VJ7cfaf7959123de8bd08849884fee5b5979d1bf59,Leeds City Centre,db91a2258e439f2ebb3ea27b3bbbabbed4da7c0e,RPSP63fc97db7aa1d5dd8c0a86f5b9af132c8bada965,0,"VJ3320,VJ3350",OP931,74,,3.0,1,1,1,1,1,0,0,2023-01-23,2023-10-20,14:52:52,14:52:52,450011937,14,Leeds City Centre,0,0,,0,45011937,Belle Isle Centre,53.766365,-1.523889,0,,,,7709041039243975031,12589,14:39:00,20230203,53.76601028442383,-1.5235430002212524,14,2,2023-02-03 15:04:06+00:00,FLDS-68801,2023-02-03 14:52:52+00:00,2023-02-03 14:52:52+00:00,11.233333333333333
12594,341,VJddad01f6276a016f1034772e67cc9b9fcdd3681b,Seacroft,2875775745c73698c053954b74cbeaee900ae55e,RPSPd5a8e1d6d601e26f115aebae255783b24236e1c3,0,"VJ2528,VJ2643",OP931,49,,3.0,1,1,1,1,1,0,0,2023-01-23,2023-10-20,14:36:00,14:36:00,450010969,22,,0,0,6.69546,0,45010969,Woodsley Road,53.80476,-1.569463,0,,,,14200554651986719501,12594,14:08:00,20230203,53.8060302734375,-1.5739150047302246,22,2,2023-02-03 14:52:53+00:00,FLDS-35272,2023-02-03 14:36:00+00:00,2023-02-03 14:36:00+00:00,16.883333333333333
12594,341,VJ9e3460a64997799c39c1b45a866b110e4e3396d2,Bramley,6897da2a674cb113886853f77fcece0786d99c5a,RPSP46f323279ef8cdcbfadb8d6d98a8f0fbb8120bc0,0,"VJ2531,VJ2646",OP931,49,,3.0,1,1,1,1,1,0,0,2023-01-23,2023-10-20,14:53:00,14:53:00,450010297,18,,0,0,6.22379,0,45010297,St James's Hospital,53.805763,-1.520512,0,,,,10369817729858283074,12594,14:34:00,20230203,53.8064079284668,-1.5196980237960815,18,2,2023-02-03 15:04:13+00:00,FLDS-35612,2023-02-03 14:53:00+00:00,2023-02-03 14:53:00+00:00,11.216666666666667
12597,341,VJ00e3876709d8ce1c07200b11f31af2477ea32e8a,Seacroft,03f935c88d5192113c70b12975ce5d77f1dfdce3,RPSP266d70c16b4d0030fda0fd0c58108b14d1472e76,0,"VJ2853,VJ2924,VJ2927,VJ3070",OP931,50,,3.0,1,1,1,1,1,0,0,2023-01-23,2023-10-20,14:34:00,14:34:00,450011450,18,,0,0,5.71303,0,45011450,Eden Road,53.815086,-1.594493,0,,,,3600181954959553509,12597,14:14:00,20230203,53.81703186035156,-1.5989099740982056,18,2,2023-02-03 14:50:01+00:00,FLDS-35630,2023-02-03 14:34:00+00:00,2023-02-03 14:34:00+00:00,16.016666666666666
12597,341,VJ5d4377818bb005a36907e256a84b8e9351f20571,Horsforth,a838a631892a5ea34cfb3f2d7f19d05235483507,RPSPd8c64df0b92ce7abc6fcc140d7ce80c629338a45,0,"VJ2854,VJ2925,VJ2928,VJ3071",OP931,50,,3.0,1,1,1,1,1,0,0,2023-01-23,2023-10-20,14:52:00,14:52:00,450014787,24,,0,0,8.340200000000001,0,45014787,Cultural E,53.79665,-1.532519,0,,,,4129683093715933393,12597,14:22:00,20230203,53.800331115722656,-1.5260299444198608,24,2,2023-02-03 15:04:13+00:00,FLDS-35267,2023-02-03 14:52:00+00:00,2023-02-03 14:52:00+00:00,12.216666666666667
12696,559,VJ2e597d4a943ab14436d8e4598f54615c0b78356f,Leeds City Centre,6c06b14db975b17a04feec9350b901f0380f73d8,RPSP63450d95812602d275dd3740c774eed5046bce8d,0,"VJ4305,VJ4370",OP931,X84,,3.0,1,1,1,1,1,0,0,2023-01-30,2023-10-20,14:43:00,14:43:00,450011142,49,,1,0,23.7025,0,45011142,Kepstorn Road,53.833038,-1.592254,0,,,,16554092139421287278,12696,13:51:00,20230203,53.831966400146484,-1.5894880294799805,49,2,2023-02-03 15:04:08+00:00,FLDS-35596,2023-02-03 14:43:00+00:00,2023-02-03 14:43:00+00:00,21.133333333333333
